brands;brands_id;category_id
Acer;01;1
Acer Computers;02;1
Acer LiteON;03;1
Alienware;04;1
Alienware 17 R2;05;1
Apple;06;1
ASU;07;1
ASUS;08;1
Asus rog;09;1
Asus Rog Strix;10;1
Avita;11;1
Blauw;12;1
BTO;13;1
Clevo;14;1
Concept;15;1
ConceptD;16;1
Dell;17;1
Dynabook;18;1
Dynabook Toshiba;19;1
ElementKey;20;1
Fujitsu;21;1
GIGABYTE;22;1
Hewlet Packard;23;1
Hewlett Packard Enterprise;24;1
HP;25;1
HP Envy;26;1
HP Pavilion;27;1
Hp Printing & Computing;28;1
Jumper;29;1
LalaShops;30;1
Lenovo;31;1
Lenovo Legion 5;32;1
Lenovo thinkpad carbon gen 10;33;1
Lenovo thinkpad x1 yoga gen 6;34;1
Lenvo;35;1
MEDION;36;1
Merkloos / Sans marque;37;1
Microsoft;38;1
MSI;39;1
NovaCustom;40;1
PC Basic;41;1
PEAQ;42;1
Razer;43;1
Redux Gaming;44;1
Samsung;45;1
Skikk;46;1
Terra;47;1
TongFang;48;1
Toshiba;49;1
Wortmann AG;50;1
Xiaomi Mi;51;1
Acer;52;2
AG Neovo;53;2
Alienware;54;2
ANTGAMER;55;2
AntteQ;56;2
AOC;57;2
APC;58;2
Apple;59;2
AquaSound;60;2
Arzopa;61;2
Asrock;62;2
ASUS;63;2
Atomos;64;2
Believe;65;2
BenQ;66;2
Blerron;67;2
Boox;68;2
chiq;69;2
Cisco;70;2
Cooler Master;71;2
Dahua;72;2
Dell;73;2
Denver;74;2
DESVIEW;75;2
Eaton;76;2
Eizo;77;2
Elo;78;2
Elo Touch Solution;79;2
Elo Touchsystems;80;2
Ermeco;81;2
Eviciv;82;2
Evoko;83;2
farfi;84;2
faytech;85;2
Feare NL;86;2
Fujitsu;87;2
Game Hero;88;2
game scherm;89;2
Gamecase Design;90;2
Gearlab;91;2
GIGABYTE;92;2
GMI;93;2
Hanns.G;94;2
Hannspree;95;2
Hikvision;96;2
Hisense;97;2
Hitachi;98;2
HoriVue;99;2
HP;100;2
Huawei;101;2
Iiyama;102;2
Intel;103;2
Intellecto;104;2
KeepOut;105;2
Koorui;106;2
Kualite;107;2
Lc-Power;108;2
Legamaster;109;2
Lenovo;110;2
LG;111;2
LIPA;112;2
Logilink;113;2
LOOV;114;2
MEDION;115;2
Merkloos / Sans marque;116;2
Mobile Pixels;117;2
Monitor;118;2
MP My Panny;119;2
MSI;120;2
Mucai;121;2
NEC;122;2
Neewer;123;2
Neovo;124;2
Newline Interactive;125;2
Oversteel;126;2
Pactom;127;2
PEPPER JOBS;128;2
Perfect;129;2
Philips;130;2
Powerview;131;2
Premes;132;2
Qumax;133;2
Raider;134;2
Rampage;135;2
Raspberry Pi;136;2
Razer;137;2
Renkforce;138;2
Safire;139;2
Samsung;140;2
Sharp;141;2
Sony;142;2
Stane;143;2
Targus;144;2
Tennex;145;2
Terra;146;2
Tesla;147;2
Thomson;148;2
Tri-screen;149;2
Tru Components;150;2
ULTRA GEAR;151;2
V7;152;2
Veho;153;2
Velleman;154;2
Verbatim;155;2
Viewsonic;156;2
Vivvy;157;2
VoCore;158;2
Xebec;159;2
Xiaomi;160;2
Yealink;161;2
Zazitec;162;2
Zowie;163;2
123pccenter;164;3
Acer;165;3
AMD Power Game PC;166;3
Apple;167;3
Asrock;168;3
ASUS;169;3
Azerty;170;3
Badiko;171;3
Beelink;172;3
Bleu Jour;173;3
Bleujour;174;3
Blue Monkey;175;3
Bobcat 300;176;3
BOEM;177;3
COMPUCOM;178;3
COMPUGEAR;179;3
Compuserv Beast for budget;180;3
CompuStunt;181;3
Computer Galaxy;182;3
Concept;183;3
Dell;184;3
Dell Wyse;185;3
DT Performance Builds;186;3
Ecs;187;3
ECS Elitegroup;188;3
ElementKey;189;3
EpicBuilds;190;3
FD-Computers;191;3
FICEP;192;3
Fujitsu;193;3
Giada;194;3
GIGABYTE;195;3
GMR;196;3
H.P.;197;3
Hewlet Packard;198;3
Hewlett Packard Enterprise;199;3
HP;200;3
HP ProMini;201;3
HPE;202;3
Huawei;203;3
HW;204;3
Icy Box;205;3
Igel;206;3
Informatique;207;3
Intel;208;3
Intel NUC Compleet;209;3
Intel NUC PC;210;3
Intel Power Game PC;211;3
Kooiker Automatisering;212;3
LalaShops;213;3
Lc-Power;214;3
Lenovo;215;3
LIPA;216;3
MatchX;217;3
MEDION;218;3
Merkloos / Sans marque;219;3
Milesight;220;3
miniPCWINKEL;221;3
Morefine;222;3
MSI;223;3
NEC;224;3
omiXimo;225;3
Option;226;3
PC Build;227;3
pcman;228;3
Peta;229;3
QNAP;230;3
Raider;231;3
REBELPLAY;232;3
Rebelz Gaming;233;3
Redux Gaming;234;3
Rikomagic;235;3
ScreenON;236;3
SHS Computer;237;3
Shuttle;238;3
SimPC;239;3
Skikk;240;3
SMART Technologies;241;3
StayPowered;242;3
Terra;243;3
TerraCom;244;3
U-Gen Gaming;245;3
Vertiv;246;3
VTC;247;3
Western Digital;248;3
Wortmann AG;249;3
